;table;tableDescription;fieldNr;fieldName;fieldDescription;dataType;length
;AIGKK     ;Connection between keyword and object type;1;KEYAIGKK  ;Connection between keyword and object type;C;15
;AIGKK     ;Connection between keyword and object type;2;KEYAIOBT  ;Objekttyp;C;15
;AIGKK     ;Connection between keyword and object type;3;KEYAIGKW  ;Keyword parent term;C;15
;AIGKK     ;Connection between keyword and object type;4;TIMESTAMP ;;C;10
;AIGKW     ;Keyword parent term;1;KEYAIGKW  ;Sakord överliggande term;C;15
;AIGKW     ;Keyword parent term;2;CAPTION   ;Sakord överliggande term;C;60
;AIGKW     ;Keyword parent term;3;TIMESTAMP ;;C;10
;AIINV     ;Art inventory;1;KEYAIINV  ;Art inventory;C;15
;AIINV     ;Art inventory;2;KEYAIOBT  ;Objekttyp;C;15
;AIINV     ;Art inventory;3;KEYAIGKW  ;Keyword parent term;C;15
;AIINV     ;Art inventory;4;KEYAIMAT  ;Material;C;15
;AIINV     ;Art inventory;5;KEYCMOBJ  ;Objekt;C;15
;AIINV     ;Art inventory;6;KEYCMCTC  ;Artist/Manufacturer;C;15
;AIINV     ;Art inventory;7;KEYCMCTC2 ;Donor;C;15
;AIINV     ;Art inventory;8;KWORD     ;Keyword;C;60
;AIINV     ;Art inventory;9;KDESCR    ;Keyword, special caption;M;4
;AIINV     ;Art inventory;10;MANUDESCR ;Material, manufacturing;M;4
;AIINV     ;Art inventory;11;PARTCNT   ;Number of parts;I;4
;AIINV     ;Art inventory;12;INSURNO   ;Anti-theft device no.;C;60
;AIINV     ;Art inventory;13;TMPLOC    ;Temporary location;M;4
;AIINV     ;Art inventory;14;HASPHOTO  ;Photographed;I;4
;AIINV     ;Art inventory;15;DEASSERTED;Dismissed;I;4
;AIINV     ;Art inventory;16;ISMISSING ;Missed;I;4
;AIINV     ;Art inventory;17;SOLD      ;Sold;I;4
;AIINV     ;Art inventory;18;STOLEN    ;Stolen;I;4
;AIINV     ;Art inventory;19;OUTOFUSE  ;Out of use;I;4
;AIINV     ;Art inventory;20;SPECCOND  ;Special consideration;I;4
;AIINV     ;Art inventory;21;TIMESTAMP ;Timestamp;C;10
;AIMAK     ;Connection between material and object type;1;KEYAIMAK  ;Connection between material and object type;C;15
;AIMAK     ;Connection between material and object type;2;KEYAIMAT  ;Material;C;15
;AIMAK     ;Connection between material and object type;3;KEYAIOBT  ;Objekttyp;C;15
;AIMAK     ;Connection between material and object type;4;TIMESTAMP ;;C;10
;AIMAT     ;Material;1;KEYAIMAT  ;Material;C;15
;AIMAT     ;Material;2;CAPTION   ;Material;C;60
;AIMAT     ;Material;3;TIMESTAMP ;;C;10
;AIOBT     ;Object type;1;KEYAIOBT  ;Object type;C;15
;AIOBT     ;Object type;2;KEYAIGKW  ;Sakord överliggande term;C;15
;AIOBT     ;Object type;3;KEYAIMAT  ;Material;C;15
;AIOBT     ;Object type;4;CAPTION   ;Object type;C;60
;AIOBT     ;Object type;5;TIMESTAMP ;;C;10
;ALKAT     ;Objektskategori;1;KEYALKAT  ;Objektskategori;C;15
;ALKAT     ;Objektskategori;2;CODE      ;Objektskategori;C;30
;ALKAT     ;Objektskategori;3;CAPTION   ;Benämning;C;30
;ALKAT     ;Objektskategori;4;TAXPRCNT  ;Procent sk.avskr.;N;20
;ALKAT     ;Objektskategori;5;TAXCALC   ;Sk.beräkning i rapp.;I;4
;ALKAT     ;Objektskategori;6;INCSUM    ;Included in ummarized values;I;4
;ALKAT     ;Objektskategori;7;TIMESTAMP ;;C;10
;ALKOP     ;Anläggningsobjektskoppling;1;KEYALKOP  ;Anläggningsobjektskoppling;C;15
;ALKOP     ;Anläggningsobjektskoppling;2;KEYALOBJ  ;Anläggningsobjekt;C;15
;ALKOP     ;Anläggningsobjektskoppling;3;KEYALOBR  ;Anläggningsobjekthistorikrad;C;15
;ALKOP     ;Anläggningsobjektskoppling;4;KEYCMOBJ  ;Objekt;C;15
;ALKOP     ;Anläggningsobjektskoppling;5;KEYREVRR  ;Verifikatrad;C;15
;ALKOP     ;Anläggningsobjektskoppling;6;KEYREVRT  ;Transaktionstyp;C;15
;ALKOP     ;Anläggningsobjektskoppling;7;TYPE      ;Kopplingstyp;I;4
;ALKOP     ;Anläggningsobjektskoppling;8;TIMESTAMP ;;C;10
;ALOBJ     ;Anläggningsobjekt;1;KEYALOBJ  ;Anläggningsobjekt;C;15
;ALOBJ     ;Anläggningsobjekt;2;KEYALKAT  ;Objektskategori;C;15
;ALOBJ     ;Anläggningsobjekt;3;KEYALTYP  ;Undertyp;C;15
;ALOBJ     ;Anläggningsobjekt;4;KEYCMCMP  ;Företag;C;15
;ALOBJ     ;Anläggningsobjekt;5;KEYCMCTC  ;Kontakt;C;15
;ALOBJ     ;Anläggningsobjekt;6;TYPE      ;Objekttyp;I;4
;ALOBJ     ;Anläggningsobjekt;7;CODE      ;Anläggningsobjekt;C;30
;ALOBJ     ;Anläggningsobjekt;8;CAPTION   ;Benämning;C;40
;ALOBJ     ;Anläggningsobjekt;9;OBJSTATUS ;Objektstatus;I;4
;ALOBJ     ;Anläggningsobjekt;10;INVCODE   ;Investeringsnummer;C;10
;ALOBJ     ;Anläggningsobjekt;11;HISTMETHOD;Historikmetod;I;4
;ALOBJ     ;Anläggningsobjekt;12;DEPPERIODS;Avskrivningstid;I;4
;ALOBJ     ;Anläggningsobjekt;13;PRCNT     ;Avskrivningsprocent/år;N;20
;ALOBJ     ;Anläggningsobjekt;14;ANNPRCNT  ;Räntesats;N;20
;ALOBJ     ;Anläggningsobjekt;15;CALCMETHOD;Beräkningsmetod;I;4
;ALOBJ     ;Anläggningsobjekt;16;BACKLOG   ;Eftersläpning vid avskrivning;I;4
;ALOBJ     ;Anläggningsobjekt;17;CORRMETHOD;Korrigeringsmetod;I;4
;ALOBJ     ;Anläggningsobjekt;18;CAPCMETHOD;Kapitalkostnadsmetod;I;4
;ALOBJ     ;Anläggningsobjekt;19;CLOSED    ;Slutavskriven;I;4
;ALOBJ     ;Anläggningsobjekt;20;SOLD      ;Såld;I;4
;ALOBJ     ;Anläggningsobjekt;21;THEFT     ;Stulen;I;4
;ALOBJ     ;Anläggningsobjekt;22;DISCARDED ;Skrotad;I;4
;ALOBJ     ;Anläggningsobjekt;23;CHANGEDATE;Ändringsdatum;T;8
;ALOBJ     ;Anläggningsobjekt;24;GUARANTYTO;Garanti t.o.m.;T;8
;ALOBJ     ;Anläggningsobjekt;25;SERVSETTLM;Serviceavtal;C;30
;ALOBJ     ;Anläggningsobjekt;26;THEFTID   ;Stöldskyddsnr;C;30
;ALOBJ     ;Anläggningsobjekt;27;BARCODE   ;Streckkod;C;30
;ALOBJ     ;Anläggningsobjekt;28;EXTRAINFO ;Fri text;C;150
;ALOBJ     ;Anläggningsobjekt;29;EXTRAINFO2;Fri text 2;C;150
;ALOBJ     ;Anläggningsobjekt;30;ALTDEPPER ;Skattemässig avskrivningstid;I;4
;ALOBJ     ;Anläggningsobjekt;31;ALTCHANGED;Ändringsdatum, skattemässigt;T;8
;ALOBJ     ;Anläggningsobjekt;32;NOCALCDEPR;Ingen avskrivning;I;4
;ALOBJ     ;Anläggningsobjekt;33;FISCFULDEP;Fiscally fully depreciated;I;4
;ALOBJ     ;Anläggningsobjekt;34;FISCCLOSED;Fiscally fully depreciated;I;4
;ALOBJ     ;Anläggningsobjekt;35;MARKETVAL ;Marknadsvärde;Y;8
;ALOBJ     ;Anläggningsobjekt;36;P1        ;;C;10
;ALOBJ     ;Anläggningsobjekt;37;P2        ;;C;10
;ALOBJ     ;Anläggningsobjekt;38;P3        ;;C;10
;ALOBJ     ;Anläggningsobjekt;39;P4        ;;C;10
;ALOBJ     ;Anläggningsobjekt;40;P5        ;;C;10
;ALOBJ     ;Anläggningsobjekt;41;P6        ;;C;10
;ALOBJ     ;Anläggningsobjekt;42;P7        ;;C;10
;ALOBJ     ;Anläggningsobjekt;43;P8        ;;C;10
;ALOBJ     ;Anläggningsobjekt;44;P9        ;;C;10
;ALOBJ     ;Anläggningsobjekt;45;P10       ;;C;10
;ALOBJ     ;Anläggningsobjekt;46;TIMESTAMP ;;C;10
;ALOBR     ;Anläggningsobjekthistorikrad;1;KEYALOBR  ;Anläggningsobjekthistorikrad;C;15
;ALOBR     ;Anläggningsobjekthistorikrad;2;KEYALOBJ  ;Anläggningsobjekt;C;15
;ALOBR     ;Anläggningsobjekthistorikrad;3;KEYREVRT  ;Transaktionstyp;C;15
;ALOBR     ;Anläggningsobjekthistorikrad;4;YEAR      ;År;I;4
;ALOBR     ;Anläggningsobjekthistorikrad;5;PERIOD    ;Period;I;4
;ALOBR     ;Anläggningsobjekthistorikrad;6;BUY       ;Inköp;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;7;BUYNOTDED ;Inköp, ej avskrives;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;8;SELL      ;Försäljning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;9;SELLNOTDED;Försäljning, ej avskrives;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;10;INVEST    ;Investeringsbidrag;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;11;APPRECIATE;Uppskrivning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;12;DEPRECIATE;Nedskrivning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;13;CALCDEPR  ;Avskrivning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;14;ICALCDEPR ;Intern avskrivning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;15;ACALCDEPR ;Skattemässig avskrivning;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;16;INTEREST  ;Internränta;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;17;ANNUITY   ;Real annuitet;Y;8
;ALOBR     ;Anläggningsobjekthistorikrad;18;EXTRAINFO ;Fri text;C;40
;ALOBR     ;Anläggningsobjekthistorikrad;19;ZEROHIST  ;Tom historikrad;I;4
;ALOBR     ;Anläggningsobjekthistorikrad;20;TIMESTAMP ;;C;10
;ALOUK     ;Anläggningsobjektskoppling;1;KEYALOUK  ;Anläggningsobjektskoppling;C;15
;ALOUK     ;Anläggningsobjektskoppling;2;KEYALOBJ  ;Överliggande anläggningsobjekt;C;15
;ALOUK     ;Anläggningsobjektskoppling;3;KEYALOBJ2 ;Underliggande anläggningsobjekt;C;15
